batch_id,total_energy_pJ
0,8460933168.900
1,8460933168.900
2,8460933168.900
3,8460933168.900
4,8460933168.900
5,8414784048.900
6,8460933168.900
7,8460933168.900
8,8460933168.900
9,8460933168.900
10,8460933168.900
11,8460933168.900
12,8460933168.900
13,8460933168.900
14,8460933168.900
15,8417737592.580
16,8460933168.900
17,8460933168.900
18,8460933168.900
19,8460933168.900
20,8460933168.900
21,8460933168.900
22,8460933168.900
23,8460933168.900
24,8368034990.340
25,8460933168.900
26,8460933168.900
27,8460933168.900
28,8460933168.900
29,8460933168.900
30,8460933168.900
31,8460933168.900
32,8460933168.900
33,8460933168.900
34,8460933168.900
35,8460933168.900
36,8460933168.900
37,8460933168.900
38,8460933168.900
39,8460933168.900
40,8460933168.900
41,8460933168.900
42,8460933168.900
43,8460933168.900
44,8460933168.900
45,8460933168.900
46,8460933168.900
47,8460933168.900
48,8460933168.900
49,8460933168.900
50,8460933168.900
51,8460933168.900
52,8460933168.900
53,8460933168.900
54,8460933168.900
55,8305349102.340
56,8460933168.900
57,8414784048.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,8460933168.900
63,8460933168.900
64,8460933168.900
65,8460933168.900
66,8460933168.900
67,8460933168.900
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,8460933168.900
73,8460933168.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,8460933168.900
78,8460933168.900
79,8460933168.900
80,8460933168.900
81,8460933168.900
82,8460933168.900
83,8460933168.900
84,8460933168.900
85,8421844864.260
86,8407446338.820
87,8460933168.900
88,8460933168.900
89,8460933168.900
90,8460933168.900
91,8460933168.900
92,8460933168.900
93,8460933168.900
94,8460933168.900
95,8460933168.900
96,8460933168.900
97,8460933168.900
98,8460933168.900
99,8460933168.900
100,8460933168.900
101,8460933168.900
102,8460933168.900
103,8460933168.900
104,8460933168.900
105,8460933168.900
106,8460933168.900
107,8460933168.900
108,8460933168.900
109,8460933168.900
110,8460933168.900
111,8460933168.900
112,8460933168.900
113,8460933168.900
114,8460933168.900
115,8460933168.900
116,8460933168.900
117,8460933168.900
118,8460933168.900
119,8460933168.900
120,8460933168.900
121,8460933168.900
122,8460933168.900
123,8460933168.900
124,8368034990.340
125,8460933168.900
126,8460933168.900
127,8460933168.900
128,8460933168.900
129,8460933168.900
130,8460933168.900
131,8385310144.260
132,8460933168.900
133,8460933168.900
134,8460933168.900
135,8460933168.900
136,8460933168.900
137,8460933168.900
138,8460933168.900
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,8460933168.900
143,8460933168.900
144,8460933168.900
145,8460933168.900
146,8460933168.900
147,8460933168.900
148,8460933168.900
149,8460933168.900
150,8460933168.900
151,8460933168.900
152,8368358034.180
153,8368358034.180
154,8460933168.900
155,8460933168.900
156,8460933168.900
157,8460933168.900
158,8460933168.900
159,8460933168.900
160,8460933168.900
161,8460933168.900
162,8460933168.900
163,8460933168.900
164,8460933168.900
165,8460933168.900
166,8460933168.900
167,8460933168.900
168,8460933168.900
169,8460933168.900
170,8460933168.900
171,8460933168.900
172,8460933168.900
173,8460933168.900
174,8460933168.900
175,8460933168.900
176,8460933168.900
177,8460933168.900
178,8460933168.900
179,8460933168.900
180,8460933168.900
181,8460933168.900
182,8460933168.900
183,8460933168.900
184,8460933168.900
185,8460933168.900
186,8460933168.900
187,8460933168.900
188,8460933168.900
189,8460933168.900
190,8460933168.900
191,8460933168.900
192,8460933168.900
193,8421844864.260
194,8407446338.820
195,8460933168.900
196,8460933168.900
197,8460933168.900
198,8460933168.900
199,8460933168.900
